4 Jan 1999 - 27 July 2018,EUR/USD,GBP/USD,AUD/USD,USD/CAD,USD/CHF,SP500,DGS10
7/1/99,1.0236,1.5765,0.6665,1.4693,1.569,1380.959961,5.85
7/2/99,1.0244,1.5792,0.6703,1.4645,1.5678,1391.219971,5.82
7/6/99,1.0249,1.5688,0.6657,1.4685,1.565,1388.119995,5.88
7/7/99,1.0224,1.5602,0.664,1.47,1.569,1395.859985,5.92
7/8/99,1.0198,1.5577,0.6655,1.4698,1.5731,1394.420044,5.85
7/9/99,1.0186,1.5515,0.6645,1.4735,1.5775,1403.280029,5.84
7/12/99,1.0139,1.5558,0.662,1.4812,1.5828,1399.099976,5.74
7/13/99,1.0176,1.5566,0.6593,1.4828,1.5777,1393.560059,5.71
7/14/99,1.0215,1.5635,0.6592,1.4811,1.5717,1398.170044,5.74
7/15/99,1.022,1.5665,0.6626,1.4826,1.571,1409.619995,5.72
7/16/99,1.0203,1.5622,0.6602,1.482,1.5745,1418.780029,5.68
7/19/99,1.0203,1.563,0.6515,1.4918,1.5738,1407.650024,5.66
7/20/99,1.042,1.57,0.6483,1.4915,1.5405,1377.099976,5.65
7/21/99,1.0526,1.5766,0.6475,1.5011,1.5267,1379.290039,5.66
7/22/99,1.0509,1.5835,0.6466,1.5025,1.5285,1360.969971,5.78
7/23/99,1.0497,1.578,0.648,1.5076,1.5294,1356.939941,5.84
7/26/99,1.0651,1.5905,0.6473,1.5102,1.5069,1347.76001,5.86
7/27/99,1.0627,1.5895,0.6443,1.5135,1.5065,1362.839966,5.82
7/28/99,1.0644,1.5935,0.6442,1.511,1.502,1365.400024,5.81
7/29/99,1.0719,1.613,0.6495,1.5085,1.49,1341.030029,5.88
7/30/99,1.0694,1.6207,0.6522,1.507,1.4925,1328.719971,5.92
8/2/99,1.0661,1.6145,0.65,1.5079,1.4995,1328.050049,5.92
8/3/99,1.068,1.6185,0.6535,1.4948,1.4975,1322.180054,5.95
8/4/99,1.0766,1.62,0.6585,1.4898,1.4862,1305.329956,5.96
