Mkt-RF,SMB,HML,SMALL LoBM-RF,ME1 BM2-RF,SMALL HiBM-RF,BIG LoBM-RF,ME2 BM2-RF,BIG HiBM-RF,RF
5.49,4.04,1.82,9.3152,9.6795,10.5117,4.9131,5.1201,7.3542,0.03
-1.49,0.55,-0.43,0.1674,-1.0499,-1.5168,-1.6879,-1.5087,-0.8675,0.03
1.57,2.41,-1.63,4.9153,4.1192,1.8664,1.3305,1.2256,1.116,0.03
0.01,0.47,-1.21,1.5539,-0.0964,-0.2858,0.3119,-0.2762,-0.2635,0.02
0.16,-0.14,-0.34,0.1625,0.5234,-0.4992,-0.0954,0.8107,-0.1129,0.03
1.71,0.37,2.31,1.0453,2.8897,3.6561,1.1312,2.2183,3.1349,0.03
4.03,2.24,5.91,5.9461,6.8464,10.567,2.4776,4.4923,9.6792,0.02
2.01,2.44,0.71,5.3078,5.0468,4.078,0.7304,3.009,3.3872,0.03
6.23,1.56,4.4,6.5645,8.8105,10.5214,5.1283,6.1244,9.9668,0.02
-3.89,-1.61,-1.78,-4.3943,-6.3471,-6.4297,-3.2165,-4.3901,-4.7347,0.02
7.8,0.32,3.21,7.5678,9.0569,9.8862,6.7301,7.9976,10.8352,0.03
1.73,1.51,0.35,2.7482,2.1267,4.0293,1.9798,1.0123,1.3959,0.03
0.39,3.1,4.32,2.8965,2.5327,6.8214,-1.2311,0.6963,3.4795,0.02
-2.17,-1.46,-2.71,-3.1333,-3.5758,-5.4858,-1.4566,-1.8457,-4.5255,0.03
6.2,1.61,-4.4,7.7384,7.8128,4.8592,8.5586,4.3699,2.6418,0.03
4.77,1.71,0.48,6.6174,6.7018,6.4107,4.5248,4.3674,5.6972,0.03
3.89,2.46,2.25,6.0425,6.6719,7.4202,2.3329,4.9611,5.4504,0.03
5.39,4.16,4.34,9.3011,9.7216,11.4799,2.8619,5.7959,9.3553,0.02
1.2,2.12,-2.32,4.023,3.0826,1.6095,1.7407,1.111,-0.4862,0.03
6.24,4.02,2.21,9.6375,8.8466,12.3315,6.0684,4.8935,7.7974,0.03
-5.83,-0.73,-1.27,-6.2738,-6.8594,-7.3213,-5.9102,-4.9758,-7.3931,0.03
5.87,0.31,-0.36,6.4774,5.9049,5.7751,5.1327,6.989,5.1151,0.03
4.23,2.37,0.45,4.3502,7.8986,6.3556,3.7306,5.13,2.6217,0.03
3.93,1.46,1.09,6.7036,4.9997,5.7305,3.1551,3.5802,6.3151,0.03
-3.89,-1.53,-0.59,-4.6003,-5.2331,-6.0275,-4.4439,-2.6457,-4.1936,0.03
-2.69,-2.06,0.04,-4.8321,-3.8718,-5.0775,-2.7612,-2.3986,-2.4291,0.03
-6.44,-1.78,0.6,-8.5203,-8.2529,-7.4001,-6.3475,-6.2252,-6.2626,0.03
-10.17,-4.41,-1.96,-13.9926,-13.5164,-15.8773,-9.8307,-8.4519,-11.8613,0.03
-1.44,0.09,3.44,-3.2163,-1.1014,0.7162,-2.517,-1.7939,0.4336,0.03
-0.01,-0.4,1.52,-1.6034,-0.7042,1.3802,-0.2513,0.7152,-0.1951,0.03
4.96,0.06,-1.38,5.6847,4.5834,4.2571,5.265,5.1654,3.9277,0.03
1.25,2.18,-0.73,4.4819,2.3972,3.22,2.1508,-0.5327,1.9474,0.03
-1.08,0.68,0.14,-1.3074,-0.6343,0.8317,0.0396,-1.365,-1.81,0.03
-1.67,-1.61,0.61,-3.3825,-3.4573,-2.4181,-1.8256,-1.0335,-1.5687,0.03
-4.8,-3.97,0.85,-9.3769,-7.9519,-8.1355,-5.1669,-3.6959,-4.7034,0.03
-0.97,-3.26,0.34,-5.2484,-3.9961,-3.6286,-1.1566,0.1574,-2.1044,0.03
5.29,-0.31,-0.6,4.2606,5.2987,4.9772,6.4252,4.5326,4.5003,0.03
4.14,1.43,2.82,5.2044,6.3037,7.0312,3.4818,3.4553,7.3042,0.03
-1.74,0.3,0.16,-1.8885,-1.5708,-1.2365,-1.8887,-1.486,-2.2297,0.03
-0.54,1.64,1.36,0.3498,0.2995,2.5719,-0.7344,-0.7158,-0.2414,0.06
2.47,0.51,0.08,3.4797,3.2429,2.8634,2.1704,2.9355,2.9443,0.06
-1.97,-1.74,1.06,-4.5155,-3.5127,-2.6995,-2.1416,-1.5391,-1.8396,0.06
3,-2.48,3.69,0.0959,1.2971,2.9434,1.9373,3.3828,6.4608,0.08
-3.93,2.49,1.38,-1.8189,-2.5505,-0.2699,-4.609,-4.1064,-3.406,0.07
-4.38,-1.71,0.07,-6.0605,-6.4538,-5.8686,-4.7191,-3.7581,-4.7673,0.07
8.07,0.13,4.49,6.3233,8.2156,12.1228,7.7254,7.6296,10.9126,0.09
3.65,-1.66,4.1,1.2135,2.7229,4.5943,2.1942,4.2856,7.0163,0.08
7.3,0.93,-1.23,9.2633,8.6269,7.4663,8.425,6.3826,7.7523,0.08
